# domain	status	source_url	extra_svg_url
apple.com	ok	https://apple.com/favicon.ico
arca.live	ok	https://arca.live/static/favicon.svg?t=0bcc23cf52acc4d02cec1a96774250835477da25
artifacthub.com	fail	
chatgpt.com	ok	https://chatgpt.com/favicon.ico
cncf.io	ok	https://cncf.io/favicon.ico
landscape.cncf.io	ok	https://landscape.cncf.io/images/favicon.png
daum.net	ok	https://t1.daumcdn.net/top/favicon/20260220/daum.ico
discord.com	ok	https://cdn.prod.website-files.com/6257adef93867e50d84d30e2/6266bc493fb42d4e27bb8393_847541504914fd33810e70a0ea73177e.ico
docker.com	ok	https://docker.com/favicon.ico
hub.docker.com	ok	https://hub.docker.com/favicon.ico
facebook.com	ok	https://static.xx.fbcdn.net/rsrc.php/y1/r/ay1hV6OlegS.ico
github.com	ok	https://github.com/favicon.ico
gitlab.com	ok	https://gitlab.com/favicon.png
go.dev	ok	https://go.dev/favicon.ico
google.com	ok	https://google.com/favicon.ico
adsense.google.com	ok	https://www.gstatic.com/images/branding/googleg_gradient/2x/googleg_gradient_standard_192dp.png
analytics.google.com	fail	
chromewebstore.google.com	ok	https://ssl.gstatic.com/chrome/webstore/images/icon_48px.png
cloud.google.com	ok	https://www.gstatic.com/cgc/favicon.ico
play.google.com	ok	https://www.gstatic.com/android/market_images/web/favicon_v3.ico
instagram.com	ok	https://static.cdninstagram.com/rsrc.php/v4/yI/r/VsNE-OHk_8a.png
kubernetes.io	ok	https://kubernetes.io/images/kubernetes.png
line.me	ok	https://line.me/static/img/apple-touch-icon-57x57.png
linkedin.com	ok	https://linkedin.com/favicon.ico
map.kakao.com	ok	https://map.kakao.com/favicon.ico
mediawiki.org	ok	https://mediawiki.org/favicon.ico
microsoft.com	ok	https://www.microsoft.com/favicon.ico?v2
apps.microsoft.com	ok	https://apps.microsoft.com/favicon.ico
copilot.microsoft.com	ok	https://copilot.microsoft.com/favicon.ico
namu.news	ok	https://namu.news/favicon.ico
namu.wiki	ok	https://namu.wiki/favicon.ico
naver.com	ok	https://naver.com/favicon.ico?1
dict.naver.com	ok	https://ssl.pstatic.net/dicimg/favicons/dict/v7/home/favicon.ico
map.naver.com	ok	https://ssl.pstatic.net/static/maps/assets/icons/favicon.ico
pay.naver.com	ok	https://pay.naver.com/favicon.ico
terms.naver.com	ok	https://terms.naver.com/favicon.ico?260223031841
openai.com	ok	https://openai.com/favicon.ico
samsung.com	ok	https://samsung.com/sec/static/_images/favicon.ico
steampowered.com	ok	https://steampowered.com/favicon.ico
tiktok.com	ok	https://tiktok.com/favicon.ico
twitch.tv	ok	https://twitch.tv/favicon.ico
wikimedia.org	ok	https://foundation.wikimedia.org/favicon.ico
commons.wikimedia.org	ok	https://commons.wikimedia.org/favicon.ico
wikipedia.org	ok	https://wikipedia.org/static/favicon/wikipedia.ico
wiktionary.org	ok	https://wiktionary.org/static/favicon/piece.ico
x.com	ok	https://abs.twimg.com/responsive-web/client-web/icon-ios.77d25eba.png
youtube.com	ok	https://www.youtube.com/s/desktop/95ad1c51/img/favicon.ico
zetawiki.com	ok	https://zetawiki.com/favicon.ico
